OBJECTID,GEOID,TotWorkers16over,SpeakSpanishWorkers,WorkAtHome,4pplusHH,16plusworkPoverty,16plusworkbelowpoverty,FID_,GEOID,NAME,GEOID_Data
21331,14000US17031191302,1692,1463,16,665,,,,17031191302,1913.02,14000US17031191302
21332,14000US17031200100,1862,1343,81,581,,,,17031200100,2001,14000US17031200100
21333,14000US17031200200,2522,2087,16,650,,,,17031200200,2002,14000US17031200200
21334,14000US17031200300,957,869,0,311,,,,17031200300,2003,14000US17031200300
21335,14000US17031200401,1710,1438,68,474,,,,17031200401,2004.01,14000US17031200401
21336,14000US17031200402,1762,1524,0,447,,,,17031200402,2004.02,14000US17031200402
21337,14000US17031210100,2290,1089,94,363,,,,17031210100,2101,14000US17031210100
21338,14000US17031210400,1602,1054,36,288,,,,17031210400,2104,14000US17031210400
21339,14000US17031210501,2197,1366,67,403,,,,17031210501,2105.01,14000US17031210501
21340,14000US17031210502,2444,1479,190,528,,,,17031210502,2105.02,14000US17031210502
21341,14000US17031210601,1837,1221,32,371,,,,17031210601,2106.01,14000US17031210601
21342,14000US17031210602,2256,1407,51,327,,,,17031210602,2106.02,14000US17031210602
21343,14000US17031210700,2589,1455,92,402,,,,17031210700,2107,14000US17031210700
21344,14000US17031210800,627,333,76,137,,,,17031210800,2108,14000US17031210800
21345,14000US17031210900,1601,585,68,371,,,,17031210900,2109,14000US17031210900
21346,14000US17031220300,1578,347,98,177,,,,17031220300,2203,14000US17031220300
21347,14000US17031220400,1379,204,62,108,,,,17031220400,2204,14000US17031220400
21348,14000US17031220500,1746,311,109,129,,,,17031220500,2205,14000US17031220500
21349,14000US17031220601,711,225,43,102,,,,17031220601,2206.01,14000US17031220601
21350,14000US17031220602,2765,564,121,140,,,,17031220602,2206.02,14000US17031220602
21351,14000US17031220701,1554,881,87,477,,,,17031220701,2207.01,14000US17031220701
21352,14000US17031220702,2161,1298,28,428,,,,17031220702,2207.02,14000US17031220702
21353,14000US17031220901,1429,676,58,391,,,,17031220901,2209.01,14000US17031220901
21354,14000US17031220902,1519,962,11,463,,,,17031220902,2209.02,14000US17031220902
21355,14000US17031221000,1287,671,94,317,,,,17031221000,2210,14000US17031221000
21356,14000US17031221100,2412,708,149,297,,,,17031221100,2211,14000US17031221100
21357,14000US17031221200,1406,313,70,166,,,,17031221200,2212,14000US17031221200
21358,14000US17031221300,1485,520,81,145,,,,17031221300,2213,14000US17031221300
21359,14000US17031221400,1777,867,70,276,,,,17031221400,2214,14000US17031221400
21360,14000US17031221500,1700,677,81,121,,,,17031221500,2215,14000US17031221500
21361,14000US17031221600,1951,187,161,182,,,,17031221600,2216,14000US17031221600
21362,14000US17031222200,1347,27,88,91,,,,17031222200,2222,14000US17031222200
21363,14000US17031222500,809,385,9,115,,,,17031222500,2225,14000US17031222500
21364,14000US17031222600,922,260,51,97,,,,17031222600,2226,14000US17031222600
21365,14000US17031222700,888,387,45,223,,,,17031222700,2227,14000US17031222700
21366,14000US17031222800,336,231,9,61,,,,17031222800,2228,14000US17031222800
21367,14000US17031222900,553,374,0,157,,,,17031222900,2229,14000US17031222900
21368,14000US17031230100,672,320,8,120,,,,17031230100,2301,14000US17031230100
21369,14000US17031230200,670,447,9,149,,,,17031230200,2302,14000US17031230200
21370,14000US17031230300,451,414,25,137,,,,17031230300,2303,14000US17031230300
21371,14000US17031230400,999,775,33,260,,,,17031230400,2304,14000US17031230400
21372,14000US17031230500,1139,1014,54,459,,,,17031230500,2305,14000US17031230500
21373,14000US17031230600,2457,1724,39,873,,,,17031230600,2306,14000US17031230600
21374,14000US17031230700,1985,1408,91,507,,,,17031230700,2307,14000US17031230700
