OBJECTID,GEOID,PopHispanicLatino,FID_,GEOID,NAME,GEOID_Data
21471,14000US17031301600,4390,,17031301600,3016,14000US17031301600
21472,14000US17031301701,3501,,17031301701,3017.01,14000US17031301701
21473,14000US17031301702,3300,,17031301702,3017.02,14000US17031301702
21474,14000US17031301801,4210,,17031301801,3018.01,14000US17031301801
21475,14000US17031301802,2393,,17031301802,3018.02,14000US17031301802
21476,14000US17031301803,4887,,17031301803,3018.03,14000US17031301803
21477,14000US17031310200,818,,17031310200,3102,14000US17031310200
21478,14000US17031310300,912,,17031310300,3103,14000US17031310300
21479,14000US17031310400,987,,17031310400,3104,14000US17031310400
21480,14000US17031310500,1569,,17031310500,3105,14000US17031310500
21481,14000US17031310600,4036,,17031310600,3106,14000US17031310600
21482,14000US17031310700,1319,,17031310700,3107,14000US17031310700
21483,14000US17031310800,4383,,17031310800,3108,14000US17031310800
21484,14000US17031310900,4673,,17031310900,3109,14000US17031310900
21485,14000US17031320100,692,,17031320100,3201,14000US17031320100
21486,14000US17031320400,94,,17031320400,3204,14000US17031320400
21487,14000US17031320600,90,,17031320600,3206,14000US17031320600
21488,14000US17031330100,1062,,17031330100,3301,14000US17031330100
21489,14000US17031330200,198,,17031330200,3302,14000US17031330200
21490,14000US17031340300,101,,17031340300,3403,14000US17031340300
21491,14000US17031340400,166,,17031340400,3404,14000US17031340400
21492,14000US17031340500,334,,17031340500,3405,14000US17031340500
21493,14000US17031340600,0,,17031340600,3406,14000US17031340600
21494,14000US17031350100,84,,17031350100,3501,14000US17031350100
21495,14000US17031350400,49,,17031350400,3504,14000US17031350400
21496,14000US17031351000,0,,17031351000,3510,14000US17031351000
21497,14000US17031351100,0,,17031351100,3511,14000US17031351100
21498,14000US17031351400,87,,17031351400,3514,14000US17031351400
21499,14000US17031351500,0,,17031351500,3515,14000US17031351500
21500,14000US17031360200,23,,17031360200,3602,14000US17031360200
21501,14000US17031380100,0,,17031380100,3801,14000US17031380100
21502,14000US17031380200,11,,17031380200,3802,14000US17031380200
21503,14000US17031380500,0,,17031380500,3805,14000US17031380500
21504,14000US17031380700,28,,17031380700,3807,14000US17031380700
21505,14000US17031381200,33,,17031381200,3812,14000US17031381200
21506,14000US17031381400,147,,17031381400,3814,14000US17031381400
21507,14000US17031381500,0,,17031381500,3815,14000US17031381500
21508,14000US17031381700,0,,17031381700,3817,14000US17031381700
21509,14000US17031381800,208,,17031381800,3818,14000US17031381800
21510,14000US17031381900,0,,17031381900,3819,14000US17031381900
21511,14000US17031390100,13,,17031390100,3901,14000US17031390100
21512,14000US17031390200,11,,17031390200,3902,14000US17031390200
21513,14000US17031390300,24,,17031390300,3903,14000US17031390300
21514,14000US17031390400,50,,17031390400,3904,14000US17031390400
21515,14000US17031390500,76,,17031390500,3905,14000US17031390500
21516,14000US17031390600,154,,17031390600,3906,14000US17031390600
21517,14000US17031390700,421,,17031390700,3907,14000US17031390700
21518,14000US17031400300,10,,17031400300,4003,14000US17031400300
21519,14000US17031400400,0,,17031400400,4004,14000US17031400400
21520,14000US17031400500,0,,17031400500,4005,14000US17031400500
21521,14000US17031400800,1,,17031400800,4008,14000US17031400800
21522,14000US17031410100,329,,17031410100,4101,14000US17031410100
21523,14000US17031410200,11,,17031410200,4102,14000US17031410200
21524,14000US17031410500,194,,17031410500,4105,14000US17031410500
21525,14000US17031410600,56,,17031410600,4106,14000US17031410600
21526,14000US17031410700,132,,17031410700,4107,14000US17031410700
21527,14000US17031410800,269,,17031410800,4108,14000US17031410800
21528,14000US17031410900,304,,17031410900,4109,14000US17031410900
21529,14000US17031411000,151,,17031411000,4110,14000US17031411000
21530,14000US17031411100,37,,17031411100,4111,14000US17031411100
21531,14000US17031411200,29,,17031411200,4112,14000US17031411200
21532,14000US17031420100,46,,17031420100,4201,14000US17031420100
21533,14000US17031420200,50,,17031420200,4202,14000US17031420200
21534,14000US17031420300,40,,17031420300,4203,14000US17031420300
21535,14000US17031420400,59,,17031420400,4204,14000US17031420400
21536,14000US17031420500,19,,17031420500,4205,14000US17031420500
21537,14000US17031420600,0,,17031420600,4206,14000US17031420600
21538,14000US17031420700,45,,17031420700,4207,14000US17031420700
21539,14000US17031420800,49,,17031420800,4208,14000US17031420800
21540,14000US17031421200,15,,17031421200,4212,14000US17031421200
21541,14000US17031430101,14,,17031430101,4301.01,14000US17031430101
21542,14000US17031430102,0,,17031430102,4301.02,14000US17031430102
21543,14000US17031430200,154,,17031430200,4302,14000US17031430200
21544,14000US17031430300,32,,17031430300,4303,14000US17031430300
21545,14000US17031430400,24,,17031430400,4304,14000US17031430400
21546,14000US17031430500,47,,17031430500,4305,14000US17031430500
21547,14000US17031430600,0,,17031430600,4306,14000US17031430600
21548,14000US17031430700,57,,17031430700,4307,14000US17031430700
21549,14000US17031430800,12,,17031430800,4308,14000US17031430800
21550,14000US17031430900,0,,17031430900,4309,14000US17031430900
21551,14000US17031431200,57,,17031431200,4312,14000US17031431200
21552,14000US17031431301,13,,17031431301,4313.01,14000US17031431301
