OBJECTID,GEOID,TotalPop,FID_,GEOID,NAME,GEOID_Data
21299,14000US17031160900,2612,,17031160900,1609,14000US17031160900
21300,14000US17031161000,1745,,17031161000,1610,14000US17031161000
21301,14000US17031161100,2255,,17031161100,1611,14000US17031161100
21302,14000US17031161200,2512,,17031161200,1612,14000US17031161200
21303,14000US17031161300,3652,,17031161300,1613,14000US17031161300
21304,14000US17031170100,2145,,17031170100,1701,14000US17031170100
21305,14000US17031170200,3840,,17031170200,1702,14000US17031170200
21306,14000US17031170300,5074,,17031170300,1703,14000US17031170300
21307,14000US17031170400,3791,,17031170400,1704,14000US17031170400
21308,14000US17031170500,4679,,17031170500,1705,14000US17031170500
21309,14000US17031170600,2649,,17031170600,1706,14000US17031170600
21310,14000US17031170700,3174,,17031170700,1707,14000US17031170700
21311,14000US17031170800,3645,,17031170800,1708,14000US17031170800
21312,14000US17031170900,1715,,17031170900,1709,14000US17031170900
21313,14000US17031171000,7032,,17031171000,1710,14000US17031171000
21314,14000US17031171100,4371,,17031171100,1711,14000US17031171100
21315,14000US17031180100,5662,,17031180100,1801,14000US17031180100
21316,14000US17031190100,2690,,17031190100,1901,14000US17031190100
21317,14000US17031190200,6026,,17031190200,1902,14000US17031190200
21318,14000US17031190300,5268,,17031190300,1903,14000US17031190300
21319,14000US17031190401,4545,,17031190401,1904.01,14000US17031190401
21320,14000US17031190402,4901,,17031190402,1904.02,14000US17031190402
21321,14000US17031190601,4474,,17031190601,1906.01,14000US17031190601
21322,14000US17031190602,4967,,17031190602,1906.02,14000US17031190602
21323,14000US17031190701,2935,,17031190701,1907.01,14000US17031190701
21324,14000US17031190702,4492,,17031190702,1907.02,14000US17031190702
21325,14000US17031190800,6774,,17031190800,1908,14000US17031190800
21326,14000US17031190900,2184,,17031190900,1909,14000US17031190900
21327,14000US17031191000,2720,,17031191000,1910,14000US17031191000
21328,14000US17031191100,7714,,17031191100,1911,14000US17031191100
21329,14000US17031191200,4011,,17031191200,1912,14000US17031191200
21330,14000US17031191301,5997,,17031191301,1913.01,14000US17031191301
21331,14000US17031191302,4466,,17031191302,1913.02,14000US17031191302
21332,14000US17031200100,4549,,17031200100,2001,14000US17031200100
21333,14000US17031200200,5546,,17031200200,2002,14000US17031200200
21334,14000US17031200300,2258,,17031200300,2003,14000US17031200300
21335,14000US17031200401,4014,,17031200401,2004.01,14000US17031200401
21336,14000US17031200402,3942,,17031200402,2004.02,14000US17031200402
21337,14000US17031210100,4298,,17031210100,2101,14000US17031210100
21338,14000US17031210400,3163,,17031210400,2104,14000US17031210400
21339,14000US17031210501,4505,,17031210501,2105.01,14000US17031210501
21340,14000US17031210502,5172,,17031210502,2105.02,14000US17031210502
21341,14000US17031210601,3318,,17031210601,2106.01,14000US17031210601
21342,14000US17031210602,4468,,17031210602,2106.02,14000US17031210602
21343,14000US17031210700,4518,,17031210700,2107,14000US17031210700
21344,14000US17031210800,1235,,17031210800,2108,14000US17031210800
21345,14000US17031210900,3366,,17031210900,2109,14000US17031210900
21346,14000US17031220300,2425,,17031220300,2203,14000US17031220300
21347,14000US17031220400,2445,,17031220400,2204,14000US17031220400
21348,14000US17031220500,2820,,17031220500,2205,14000US17031220500
21349,14000US17031220601,1506,,17031220601,2206.01,14000US17031220601
21350,14000US17031220602,4547,,17031220602,2206.02,14000US17031220602
21351,14000US17031220701,3810,,17031220701,2207.01,14000US17031220701
21352,14000US17031220702,4295,,17031220702,2207.02,14000US17031220702
21353,14000US17031220901,3392,,17031220901,2209.01,14000US17031220901
21354,14000US17031220902,3214,,17031220902,2209.02,14000US17031220902
