OBJECTID,GEOID,PopWhite,PopBlack,FID_,GEOID,NAME,GEOID_Data
21362,14000US17031222200,1558,47,,17031222200,2222,14000US17031222200
21363,14000US17031222500,1185,123,,17031222500,2225,14000US17031222500
21364,14000US17031222600,1307,115,,17031222600,2226,14000US17031222600
21365,14000US17031222700,1932,145,,17031222700,2227,14000US17031222700
21366,14000US17031222800,534,329,,17031222800,2228,14000US17031222800
21367,14000US17031222900,1002,97,,17031222900,2229,14000US17031222900
21368,14000US17031230100,853,137,,17031230100,2301,14000US17031230100
21369,14000US17031230200,591,280,,17031230200,2302,14000US17031230200
21370,14000US17031230300,568,84,,17031230300,2303,14000US17031230300
21371,14000US17031230400,1117,89,,17031230400,2304,14000US17031230400
21372,14000US17031230500,1752,363,,17031230500,2305,14000US17031230500
21373,14000US17031230600,1681,2529,,17031230600,2306,14000US17031230600
21374,14000US17031230700,1886,887,,17031230700,2307,14000US17031230700
21375,14000US17031230800,505,73,,17031230800,2308,14000US17031230800
21376,14000US17031230900,1804,1543,,17031230900,2309,14000US17031230900
21377,14000US17031231100,170,788,,17031231100,2311,14000US17031231100
21378,14000US17031231200,749,4574,,17031231200,2312,14000US17031231200
21379,14000US17031231500,98,5122,,17031231500,2315,14000US17031231500
21380,14000US17031240200,1350,22,,17031240200,2402,14000US17031240200
21381,14000US17031240300,1218,0,,17031240300,2403,14000US17031240300
21382,14000US17031240500,1841,33,,17031240500,2405,14000US17031240500
21383,14000US17031240600,852,52,,17031240600,2406,14000US17031240600
21384,14000US17031240700,1398,94,,17031240700,2407,14000US17031240700
21385,14000US17031240800,1320,122,,17031240800,2408,14000US17031240800
21386,14000US17031240900,590,120,,17031240900,2409,14000US17031240900
21387,14000US17031241000,1215,715,,17031241000,2410,14000US17031241000
21388,14000US17031241100,2600,490,,17031241100,2411,14000US17031241100
21389,14000US17031241200,1380,228,,17031241200,2412,14000US17031241200
21390,14000US17031241300,1502,287,,17031241300,2413,14000US17031241300
21391,14000US17031241400,3613,758,,17031241400,2414,14000US17031241400
21392,14000US17031241500,2361,84,,17031241500,2415,14000US17031241500
21393,14000US17031241600,2945,153,,17031241600,2416,14000US17031241600
21394,14000US17031242000,2642,997,,17031242000,2420,14000US17031242000
21395,14000US17031242100,2657,150,,17031242100,2421,14000US17031242100
21396,14000US17031242200,3477,192,,17031242200,2422,14000US17031242200
21397,14000US17031242300,3116,65,,17031242300,2423,14000US17031242300
21398,14000US17031242400,2661,34,,17031242400,2424,14000US17031242400
21399,14000US17031242500,2966,153,,17031242500,2425,14000US17031242500
21400,14000US17031242600,3625,796,,17031242600,2426,14000US17031242600
21401,14000US17031242700,794,473,,17031242700,2427,14000US17031242700
21402,14000US17031242800,1454,11,,17031242800,2428,14000US17031242800
21403,14000US17031242900,1563,106,,17031242900,2429,14000US17031242900
21404,14000US17031243000,1996,24,,17031243000,2430,14000US17031243000
21405,14000US17031243100,1667,103,,17031243100,2431,14000US17031243100
21406,14000US17031243200,1553,6,,17031243200,2432,14000US17031243200
21407,14000US17031243300,1835,40,,17031243300,2433,14000US17031243300
21408,14000US17031243400,2244,89,,17031243400,2434,14000US17031243400
21409,14000US17031243500,2337,456,,17031243500,2435,14000US17031243500
21410,14000US17031250200,492,1766,,17031250200,2502,14000US17031250200
21411,14000US17031250300,99,3694,,17031250300,2503,14000US17031250300
21412,14000US17031250400,145,5687,,17031250400,2504,14000US17031250400
21413,14000US17031250500,4468,2127,,17031250500,2505,14000US17031250500
21414,14000US17031250600,155,4553,,17031250600,2506,14000US17031250600
21415,14000US17031250700,78,5767,,17031250700,2507,14000US17031250700
21416,14000US17031250800,104,2012,,17031250800,2508,14000US17031250800
21417,14000US17031251000,163,1121,,17031251000,2510,14000US17031251000
21418,14000US17031251100,210,4362,,17031251100,2511,14000US17031251100
21419,14000US17031251200,236,3538,,17031251200,2512,14000US17031251200
21420,14000US17031251300,113,4622,,17031251300,2513,14000US17031251300
21421,14000US17031251400,336,3512,,17031251400,2514,14000US17031251400
21422,14000US17031251500,181,4039,,17031251500,2515,14000US17031251500
21423,14000US17031251600,41,2956,,17031251600,2516,14000US17031251600
21424,14000US17031251700,126,1475,,17031251700,2517,14000US17031251700
21425,14000US17031251800,15,4926,,17031251800,2518,14000US17031251800
21426,14000US17031251900,164,5771,,17031251900,2519,14000US17031251900
21427,14000US17031252000,182,5786,,17031252000,2520,14000US17031252000
21428,14000US17031252101,6,1408,,17031252101,2521.01,14000US17031252101
21429,14000US17031252102,0,6098,,17031252102,2521.02,14000US17031252102
21430,14000US17031252201,158,2490,,17031252201,2522.01,14000US17031252201
21431,14000US17031252202,34,4323,,17031252202,2522.02,14000US17031252202
21432,14000US17031260100,94,1189,,17031260100,2601,14000US17031260100
